epoch,accuracy,loss,val_accuracy,val_loss
0,0.5519410967826843,1.428796648979187,0.6936261653900146,1.0243215560913086
1,0.6520749926567078,1.0827302932739258,0.7236207723617554,0.8960234522819519
2,0.6888219714164734,0.9736939072608948,0.7445099353790283,0.8450118899345398
3,0.7081660032272339,0.9046139717102051,0.760578453540802,0.8065946102142334
4,0.7238956093788147,0.8501671552658081,0.7707552313804626,0.7768124938011169
5,0.7392235398292542,0.7954778671264648,0.7750401496887207,0.7420422434806824
6,0.75,0.7506862878799438,0.7771826386451721,0.7390232682228088
7,0.7662650346755981,0.7095697522163391,0.7895018458366394,0.6988599300384521
8,0.7712851166725159,0.6850572228431702,0.7889662384986877,0.6972817778587341
9,0.784605085849762,0.6551398038864136,0.7905731201171875,0.695763111114502
10,0.7898929119110107,0.6260764598846436,0.7932512164115906,0.6968175768852234
11,0.7941097617149353,0.6046012043952942,0.7782539129257202,0.7082418203353882
12,0.8033466935157776,0.5874967575073242,0.8007498383522034,0.6802054047584534
13,0.8102409839630127,0.5605999231338501,0.8002142310142517,0.670792281627655
14,0.8162650465965271,0.5355293154716492,0.7986074090003967,0.6840156316757202
15,0.8202811479568481,0.5314467549324036,0.8012855052947998,0.6859617829322815
16,0.8268406987190247,0.5085787773132324,0.795393705368042,0.6730841994285583
17,0.8301874399185181,0.48923927545547485,0.7996786236763,0.668462872505188
18,0.8328648209571838,0.4756283462047577,0.7996786236763,0.6868687272071838
19,0.843908965587616,0.45996803045272827,0.810926616191864,0.6535410284996033
