epoch,accuracy,loss,val_accuracy,val_loss
0,0.4811914265155792,1.7924968004226685,0.6711301803588867,1.1107308864593506
1,0.61479252576828,1.2268952131271362,0.7000535726547241,0.982842743396759
2,0.665127158164978,1.0615990161895752,0.7279057502746582,0.9129818677902222
3,0.6872824430465698,0.9785905480384827,0.7257632613182068,0.8732045888900757
4,0.7105087041854858,0.9150081276893616,0.7487948536872864,0.8413693308830261
5,0.7234939932823181,0.865444540977478,0.7461167573928833,0.8230599164962769
6,0.7342034578323364,0.8205899596214294,0.7536154389381409,0.8023076057434082
7,0.7439089417457581,0.7959969639778137,0.7627209424972534,0.7523834705352783
8,0.7580990791320801,0.7436809539794922,0.7728977203369141,0.7653439044952393
9,0.765662670135498,0.7228268384933472,0.7750401496887207,0.735518217086792
10,0.7730254530906677,0.692946195602417,0.7803963422775269,0.739703357219696
11,0.7744979858398438,0.6795297265052795,0.7782539129257202,0.7080838084220886
12,0.7870147228240967,0.6479394435882568,0.7884306311607361,0.7114352583885193
13,0.7902945280075073,0.6292992830276489,0.7959293127059937,0.7052346467971802
14,0.8007363080978394,0.5959839820861816,0.7846813201904297,0.7248672842979431
15,0.8056225180625916,0.5879238843917847,0.7916443347930908,0.6992585062980652
16,0.8062918186187744,0.5780549645423889,0.7948580384254456,0.7159779667854309
17,0.8208835124969482,0.5447145104408264,0.7911087274551392,0.7189432978630066
18,0.8204150199890137,0.5330632925033569,0.7991430163383484,0.7067059874534607
19,0.8253681659698486,0.5191165208816528,0.8103910088539124,0.6829990744590759
