epoch,accuracy,loss,val_accuracy,val_loss
0,0.5366800427436829,1.480895757675171,0.6748794913291931,1.066450834274292
1,0.6433065533638,1.136057734489441,0.7080878615379333,0.9620547890663147
2,0.6739625334739685,1.030754804611206,0.7139796614646912,0.8989648818969727
3,0.6965863704681396,0.9412808418273926,0.7311194539070129,0.8650062680244446
4,0.7184739112854004,0.8823879361152649,0.7429030537605286,0.8440116047859192
5,0.7316599488258362,0.8285189867019653,0.7343331575393677,0.8531777262687683
6,0.7397590279579163,0.7825051546096802,0.7530798316001892,0.8213149905204773
7,0.7540160417556763,0.7490876913070679,0.7407605648040771,0.8186869025230408
8,0.7595046758651733,0.7190765142440796,0.7514729499816895,0.8036081790924072
9,0.7775769829750061,0.6803487539291382,0.7520085573196411,0.7722650766372681
10,0.7800535559654236,0.6544169783592224,0.7573647499084473,0.7612296938896179
11,0.7864792346954346,0.6309632658958435,0.7659346461296082,0.7454255223274231
12,0.8026773929595947,0.6042163968086243,0.7793251276016235,0.7401548624038696
13,0.8042168617248535,0.5890371799468994,0.7707552313804626,0.7448824644088745
14,0.8129853010177612,0.5478023290634155,0.7712908387184143,0.7444334030151367
15,0.8163989186286926,0.540180504322052,0.7793251276016235,0.7318572402000427
16,0.8268406987190247,0.5135743021965027,0.7734333276748657,0.746979296207428
17,0.8248326778411865,0.5034722089767456,0.7777182459831238,0.7374323010444641
18,0.8309236764907837,0.49291732907295227,0.7836100459098816,0.7218541502952576
19,0.8385542035102844,0.473399817943573,0.7836100459098816,0.7314845323562622
